camera	frame	cX	cY	area	minI	maxI	meanI
left	212	360	212	2.0	138.0	168.0	144.16666666666666
right	212	120	65	1.0	119.0	145.0	128.25
right	212	295	213	1.0	122.0	156.0	135.0
left	213	359	212	1.5	117.0	147.0	128.20000000000002
right	213	295	212	2.0	116.0	144.0	125.16666666666666
left	214	359	212	1.5	117.0	147.0	128.20000000000002
right	214	295	212	2.0	116.0	144.0	125.16666666666666
left	215	359	212	1.5	117.0	147.0	128.20000000000002
right	215	295	212	2.0	116.0	144.0	125.16666666666666
left	216	360	212	3.0	122.0	177.0	138.0
right	216	295	212	2.0	116.0	144.0	125.16666666666666
left	217	360	212	3.0	122.0	177.0	138.0
right	217	120	65	1.5	111.0	141.0	120.80000000000001
right	217	295	213	2.0	120.0	165.0	133.66666666666666
left	218	360	212	3.0	122.0	177.0	138.0
right	218	120	65	1.5	111.0	141.0	120.80000000000001
right	218	295	213	2.0	120.0	165.0	133.66666666666666
left	219	360	212	3.0	122.0	177.0	138.0
right	219	120	65	1.5	111.0	141.0	120.80000000000001
right	219	295	213	2.0	120.0	165.0	133.66666666666666
left	220	359	211	4.0	112.0	177.0	133.625
right	220	120	65	1.5	111.0	141.0	120.80000000000001
right	220	295	213	2.0	120.0	165.0	133.66666666666666
left	221	359	211	4.0	112.0	177.0	133.625
right	221	120	65	2.0	112.0	148.0	126.71428571428571
right	221	295	213	3.5	115.0	163.0	133.375
left	222	359	211	4.0	112.0	177.0	133.625
right	222	120	65	2.0	112.0	148.0	126.71428571428571
right	222	295	213	3.5	115.0	163.0	133.375
left	223	359	211	4.0	112.0	177.0	133.625
right	223	120	65	2.0	112.0	148.0	126.71428571428571
right	223	295	213	3.5	115.0	163.0	133.375
left	224	359	212	3.5	114.0	179.0	133.625
left	224	526	294	0.5	117.0	131.0	123.33333333333333
right	224	120	65	2.0	112.0	148.0	126.71428571428571
right	224	295	213	3.5	114.0	163.0	132.75
left	225	359	212	3.5	114.0	179.0	133.625
left	225	526	294	0.5	117.0	131.0	123.33333333333333
right	225	120	65	0.5	117.0	138.0	122.0
right	225	295	212	2.0	117.0	163.0	135.83333333333331
left	226	359	212	3.5	114.0	179.0	133.625
left	226	526	294	0.5	117.0	131.0	123.33333333333333
right	226	120	65	0.5	117.0	138.0	122.0
right	226	295	212	2.0	117.0	163.0	135.83333333333331
left	227	359	212	3.5	114.0	179.0	133.625
left	227	526	294	0.5	117.0	131.0	123.33333333333333
right	227	120	65	0.5	117.0	138.0	122.0
right	227	295	212	2.0	117.0	163.0	135.83333333333331
left	228	360	212	2.0	114.0	170.0	139.0
