frame	dist	x	y	xmin	xmax	ymin	ymax
701	87.14	244.89	329.66	155.36	339.86	262.51	399.73
702	87.28	243.33	330.37	153.96	338.39	263.58	400.21
703	87.3	243.28	330.61	153.07	338.47	263.9	400.13
704	87.37	243.33	330.95	153.17	338.36	264.21	400.73
705	87.62	244.04	331.43	153.1	339.57	264.87	401.35
706	87.84	244.99	331.94	154.27	340.78	265.33	401.79
707	87.98	246.12	332.43	154.99	342.29	266.36	402.31
708	88.15	247.16	332.86	155.87	343.54	266.63	402.37
709	88.29	248.93	333.51	158.05	344.68	267.15	402.65
710	88.36	249.37	333.78	158.01	345.32	267.49	403.05
711	88.33	249.6	334.0	158.22	345.44	267.62	403.39
712	88.32	249.81	334.27	158.77	345.66	267.88	403.56
713	88.33	249.76	334.75	158.8	345.67	268.1	404.93
714	88.29	249.7	334.96	158.92	345.64	268.6	404.72
715	88.26	248.74	334.98	158.23	344.44	268.37	404.63
716	88.16	247.97	334.77	158.11	343.38	268.3	404.52
717	88.11	246.83	334.28	156.44	342.15	267.7	403.79
718	88.1	245.71	333.92	155.49	341.14	266.73	403.72
719	88.04	244.32	333.52	154.25	340.15	266.93	403.68
720	88.03	241.48	332.65	150.94	336.95	265.44	403.12
721	87.98	239.9	332.17	149.59	335.77	264.91	402.86
722	88.14	238.31	331.84	147.6	334.2	263.8	403.43
723	88.24	236.72	331.47	145.59	332.79	263.14	403.23
724	88.39	235.36	331.19	143.9	331.78	263.25	402.95
725	88.51	234.28	331.01	142.67	330.87	262.71	402.57
726	88.83	232.22	330.92	139.9	329.21	262.11	402.78
727	89.12	231.25	330.94	138.84	328.59	261.66	402.79
728	89.26	230.04	330.98	136.93	327.98	261.6	403.5
729	89.33	228.68	331.07	135.64	326.45	261.52	403.35
730	89.42	227.07	331.16	133.92	324.93	261.73	403.39
731	89.53	225.52	331.22	132.14	323.65	261.8	403.46
732	89.47	222.52	331.33	129.22	320.71	261.8	403.54
733	89.44	221.09	331.39	127.85	319.14	261.8	403.59
734	89.36	219.6	331.32	126.44	317.53	261.8	403.69
735	89.33	218.22	331.13	125.02	316.06	261.48	403.55
736	89.06	216.9	330.81	124.11	314.32	261.46	403.26
737	89.0	215.79	330.5	123.27	313.41	261.15	402.87
738	88.62	213.67	329.86	121.58	310.71	260.91	401.72
739	88.47	212.64	329.7	120.57	309.49	260.66	401.57
740	88.26	211.52	329.57	120.13	308.33	260.61	401.27
741	88.03	210.48	329.46	119.38	307.4	260.68	401.16
742	87.97	209.49	329.48	118.35	305.85	260.65	401.26
743	87.77	208.75	329.56	118.05	304.71	260.71	401.23
744	87.63	207.26	329.74	117.11	303.25	260.94	401.25
745	87.52	206.68	329.77	116.42	302.54	260.92	401.1
746	87.53	205.94	329.8	115.58	302.13	261.0	401.67
747	87.4	205.49	329.79	115.08	301.06	261.02	401.54
748	87.26	204.95	329.78	115.01	300.69	260.91	401.75
749	87.04	203.81	329.07	113.84	299.6	260.18	400.59
750	86.91	203.19	328.13	113.52	298.9	259.55	399.46
751	86.71	202.32	326.86	112.78	297.9	257.9	397.75
752	86.58	201.25	325.68	112.03	296.01	257.25	397.0
753	86.29	199.74	324.45	110.6	294.34	256.19	395.58
754	86.04	198.32	323.3	109.63	293.19	255.17	394.82
755	85.59	195.81	321.82	107.57	290.27	253.71	393.29
756	85.48	194.84	321.57	107.68	289.34	253.59	393.11
757	85.4	194.27	321.36	106.92	288.52	253.38	392.77
758	85.31	193.9	321.53	106.52	288.2	253.3	393.3
759	85.29	193.75	321.75	106.02	287.67	253.16	393.68
760	85.32	194.02	322.2	106.4	288.34	253.41	394.15
761	85.46	195.0	323.06	107.53	289.5	254.4	394.13
762	85.77	197.47	324.95	110.11	291.77	256.32	395.92
763	86.05	198.9	325.72	111.32	293.66	256.93	396.68
764	86.22	200.26	326.6	112.3	295.32	257.7	397.54
765	86.48	201.59	327.31	113.89	296.57	258.57	398.67
766	86.66	202.95	327.81	114.6	298.3	259.04	399.31
767	86.9	203.96	327.99	115.32	299.43	258.8	399.47
