	camera	frame	cX	cY	pulse
1192	right	1344	350	369	p41
1193	right	1345	350	369	p41
1194	right	1346	350	369	p41
1195	right	1347	350	369	p41
1196	right	1348	350	369	p41
1197	right	1349	350	369	p41
1198	right	1350	350	369	p41
1199	right	1351	350	369	p41
1200	right	1352	350	369	p41
1201	right	1353	350	369	p41
1202	right	1354	350	369	p41
1203	right	1355	350	369	p41
1185	right	1356	350	368	p41
1186	right	1357	350	368	p41
1187	right	1358	350	368	p41
1188	right	1359	350	368	p41
1246	right	1360	351	369	p41
1247	right	1361	351	369	p41
1248	right	1362	351	369	p41
1223	right	1363	351	368	p41
1224	right	1364	351	368	p41
1225	right	1365	351	368	p41
1226	right	1366	351	368	p41
1227	right	1367	351	368	p41
1228	right	1368	351	368	p41
1229	right	1369	351	368	p41
1230	right	1370	351	368	p41
1231	right	1371	351	368	p41
1232	right	1372	351	368	p41
1233	right	1373	351	368	p41
1234	right	1374	351	368	p41
1235	right	1375	351	368	p41
1236	right	1376	351	368	p41
1237	right	1377	351	368	p41
1238	right	1378	351	368	p41
1239	right	1379	351	368	p41
1240	right	1380	351	368	p41
1241	right	1381	351	368	p41
1215	right	1382	351	367	p41
1216	right	1383	351	367	p41
1217	right	1384	351	367	p41
1218	right	1385	351	367	p41
1219	right	1386	351	367	p41
1220	right	1387	351	367	p41
1221	right	1388	351	367	p41
1222	right	1389	351	367	p41
1242	right	1390	351	368	p41
1243	right	1391	351	368	p41
1244	right	1392	351	368	p41
1245	right	1393	351	368	p41
1170	right	1394	350	367	p41
1171	right	1395	350	367	p41
1172	right	1396	350	367	p41
1173	right	1397	350	367	p41
1174	right	1398	350	367	p41
1175	right	1399	350	367	p41
1176	right	1400	350	367	p41
1177	right	1401	350	367	p41
1178	right	1402	350	367	p41
1179	right	1403	350	367	p41
1180	right	1404	350	367	p41
1181	right	1405	350	367	p41
1182	right	1406	350	367	p41
1183	right	1407	350	367	p41
1184	right	1408	350	367	p41
1167	right	1409	350	366	p41
1168	right	1410	350	366	p41
1169	right	1411	350	366	p41
1264	right	1390	401	370	p42
1265	right	1391	401	370	p42
1266	right	1392	401	370	p42
1267	right	1393	401	370	p42
1268	right	1394	401	370	p42
1269	right	1395	401	370	p42
1270	right	1396	401	370	p42
1249	right	1397	401	369	p42
1250	right	1398	401	369	p42
1251	right	1399	401	369	p42
1252	right	1400	401	369	p42
1253	right	1401	401	369	p42
1254	right	1402	401	369	p42
1255	right	1403	401	369	p42
1256	right	1404	401	369	p42
1257	right	1405	401	369	p42
1258	right	1406	401	369	p42
1259	right	1407	401	369	p42
1260	right	1408	401	369	p42
1261	right	1409	401	369	p42
1262	right	1410	401	369	p42
1263	right	1411	401	369	p42
1271	right	1311	486	366	p43
1272	right	1312	486	366	p43
1273	right	1313	486	366	p43
1274	right	1314	486	366	p43
1275	right	1338	513	366	p44
1276	right	1339	513	366	p44
1277	right	1340	513	366	p44
1278	left	697	115	134	p45
1279	left	698	115	134	p45
1280	left	699	115	134	p45
1281	left	700	115	134	p45
1282	left	1219	346	266	p46
1283	left	1220	346	266	p46
1284	left	1221	346	266	p46
1285	left	1222	346	266	p46
1286	left	1223	346	267	p46
1287	left	1224	346	267	p46
1288	left	1225	346	267	p46
1308	left	1226	347	268	p46
1309	left	1227	347	268	p46
1310	left	1228	347	268	p46
1311	left	1229	347	268	p46
1289	left	1230	346	268	p46
1290	left	1231	346	268	p46
1291	left	1232	346	268	p46
1292	left	1233	346	268	p46
1293	left	1234	346	269	p46
1294	left	1235	346	269	p46
1295	left	1236	346	269	p46
1296	left	1237	346	269	p46
1301	left	1238	346	270	p46
1302	left	1239	346	270	p46
1303	left	1240	346	270	p46
1297	left	1241	346	269	p46
1298	left	1242	346	269	p46
1299	left	1243	346	269	p46
1300	left	1244	346	269	p46
1304	left	1245	346	270	p46
1305	left	1246	346	270	p46
1306	left	1247	346	270	p46
1307	left	1248	346	270	p46
1312	left	1249	347	269	p46
1313	left	1250	347	269	p46
1314	left	1251	347	269	p46
1315	left	1252	347	269	p46
1316	left	1253	347	270	p46
1317	left	1254	347	270	p46
1318	left	1255	347	270	p46
1319	left	1256	347	270	p46
1320	left	1257	348	270	p46
1321	left	1258	348	270	p46
1322	left	1259	348	270	p46
1323	left	1257	361	263	p47
1324	left	1258	361	263	p47
1325	left	1259	361	263	p47
1326	left	1264	361	263	p47
1327	left	1265	361	263	p47
1328	left	1266	361	263	p47
1329	left	1267	361	263	p47
1330	left	1268	361	264	p47
1331	left	1269	361	264	p47
1332	left	1270	361	264	p47
1333	left	1271	361	264	p47
1334	left	1272	347	272	p48
1335	left	1273	347	272	p48
1336	left	1274	347	272	p48
1337	left	1275	348	273	p48
1338	left	1276	348	273	p48
1339	left	1277	348	273	p48
1340	left	1278	348	273	p48
1341	left	1272	361	264	p49
1342	left	1273	361	264	p49
1343	left	1274	361	264	p49
1344	left	1275	361	264	p49
1345	left	1276	361	264	p49
1346	left	1277	361	264	p49
1347	left	1278	361	264	p49
1348	left	1279	362	264	p49
1349	left	1280	362	264	p49
