camera	frame	cX	cY
right	488	81	153
left	489	261	151
left	489	193	156
right	489	290	138
right	489	81	153
left	490	261	151
left	490	193	156
right	490	290	138
right	490	81	153
left	491	261	151
left	491	193	156
right	491	290	138
right	491	81	152
left	492	261	151
left	492	193	156
right	492	290	138
right	492	81	152
left	493	262	151
left	493	193	156
right	493	290	138
right	493	81	152
left	494	262	151
left	494	193	156
right	494	290	138
right	494	81	152
left	495	262	151
left	495	193	156
right	495	290	139
right	495	81	152
left	496	262	151
left	496	193	156
right	496	290	139
right	496	81	152
left	497	262	150
left	497	193	156
right	497	290	139
right	497	81	152
left	498	262	150
left	498	193	156
right	498	290	139
right	498	81	152
left	499	262	150
left	499	193	156
right	499	290	138
right	499	81	152
left	500	262	150
left	500	193	156
right	500	290	138
right	500	81	152
left	501	397	140
left	501	262	150
left	501	193	156
right	501	290	138
right	501	81	152
left	502	397	140
left	502	262	150
left	502	193	156
right	502	290	138
right	502	81	152
left	503	397	140
left	503	262	150
left	503	193	156
right	503	290	138
right	503	81	152
left	504	397	140
left	504	262	150
left	504	193	156
right	504	290	138
right	504	81	152
left	505	397	140
left	505	262	150
left	505	194	155
right	505	290	138
right	505	81	152
left	506	397	140
left	506	262	150
left	506	194	155
right	506	290	138
right	506	81	152
left	507	397	140
left	507	262	150
left	507	194	155
right	507	290	138
right	507	81	152
left	508	397	140
left	508	262	150
left	508	194	155
right	508	290	138
right	508	81	152
left	509	397	140
left	509	262	150
left	509	194	155
right	509	290	138
right	509	81	152
left	510	397	140
left	510	262	150
left	510	194	155
right	510	290	139
right	510	81	152
left	511	397	140
left	511	262	150
left	511	194	155
right	511	290	139
right	511	81	152
left	512	397	140
left	512	262	150
left	512	193	156
right	512	290	139
right	512	81	152
left	513	397	140
left	513	262	150
left	513	193	156
right	513	290	139
right	513	81	152
left	514	397	140
left	514	262	150
left	514	193	156
right	514	290	139
right	514	81	153
left	515	397	140
left	515	262	150
left	515	193	156
right	515	290	139
right	515	81	153
left	516	397	140
left	516	194	156
right	516	290	139
right	516	81	153
left	517	397	140
left	517	194	156
right	517	290	138
right	517	81	152
left	518	397	140
left	518	194	156
right	518	290	138
right	518	81	152
left	519	397	140
left	519	194	156
right	519	290	138
right	519	81	152
left	520	397	140
left	520	193	156
right	520	290	138
right	520	81	152
left	521	397	140
left	521	193	156
right	521	290	138
right	521	81	152
left	522	397	140
left	522	193	156
right	522	290	138
right	522	81	152
left	523	397	140
left	523	193	156
right	523	290	138
right	523	81	152
left	524	397	140
left	524	193	156
right	524	290	138
right	524	81	152
left	525	397	140
left	525	193	156
right	525	290	139
right	525	81	152
left	526	397	140
left	526	193	156
right	526	290	139
right	526	81	152
left	527	397	140
left	527	193	156
right	527	290	139
right	527	81	152
left	528	397	140
left	528	193	156
right	528	290	139
right	528	81	152
left	529	397	140
left	529	193	156
right	529	290	139
right	529	81	152
left	530	397	140
left	530	193	156
right	530	290	139
right	530	81	152
left	531	397	140
left	531	194	156
right	531	290	139
right	531	81	152
left	532	397	140
left	532	194	156
right	532	290	138
right	532	81	152
left	533	397	140
left	533	194	156
right	533	290	138
right	533	81	152
left	534	397	140
left	534	194	156
right	534	290	138
right	534	81	152
left	535	397	140
left	535	194	156
right	535	290	138
right	535	81	152
left	536	397	140
left	536	194	156
right	536	290	139
right	536	81	152
left	537	397	140
left	537	194	156
right	537	290	139
right	537	81	152
left	538	397	140
left	538	194	155
right	538	290	139
right	538	81	152
left	539	397	140
left	539	194	155
right	539	290	139
right	539	81	152
left	540	397	140
left	540	194	155
right	540	290	139
right	540	81	152
left	541	397	140
left	541	194	155
right	541	290	139
right	541	81	152
left	542	397	140
left	542	194	156
right	542	290	139
right	542	81	152
left	543	397	140
left	543	194	156
right	543	290	139
right	543	81	152
left	544	397	140
left	544	194	156
right	544	290	139
right	544	81	152
left	545	397	140
left	545	194	156
right	545	290	139
right	545	81	152
left	546	397	140
left	546	193	156
right	546	290	139
right	546	81	152
left	547	397	140
left	547	193	156
right	547	290	138
right	547	81	152
left	548	397	140
left	548	193	156
right	548	290	138
right	548	81	152
left	549	397	140
left	549	193	155
right	549	290	138
right	549	81	152
left	550	397	140
left	550	193	155
right	550	290	138
right	550	81	152
left	551	397	140
left	551	193	155
right	551	290	138
right	551	81	152
left	552	397	140
left	552	193	155
right	552	290	138
right	552	81	152
left	553	397	140
left	553	194	156
right	553	290	138
right	553	81	152
left	554	397	140
left	554	194	156
right	554	290	138
right	554	81	152
left	555	397	140
left	555	194	156
right	555	290	138
right	555	81	152
left	556	397	140
left	556	194	156
right	556	290	138
right	556	81	152
left	557	397	140
left	557	193	155
right	557	290	138
right	557	81	152
left	558	397	140
left	558	193	155
right	558	290	138
right	558	81	152
left	559	397	140
left	559	193	155
right	559	290	139
right	559	81	152
left	560	397	140
left	560	193	155
right	560	290	139
right	560	81	152
left	561	397	140
left	561	193	155
right	561	290	139
right	561	81	152
left	562	397	140
left	562	193	155
right	562	290	139
right	562	81	152
left	563	397	140
left	563	193	155
right	563	290	139
right	563	81	152
left	564	397	140
left	564	193	156
right	564	290	139
right	564	81	152
left	565	397	140
left	565	193	156
right	565	290	139
right	565	81	152
left	566	397	140
left	566	193	156
right	566	290	139
right	566	81	152
left	567	397	140
left	567	193	156
right	567	290	139
right	567	81	152
left	568	397	140
left	568	193	155
right	568	290	139
right	568	81	152
left	569	397	140
left	569	193	155
right	569	290	139
right	569	81	152
left	570	397	140
left	570	193	155
right	570	290	138
right	570	81	152
left	571	397	140
left	571	193	155
right	571	290	138
right	571	81	152
left	572	397	140
left	572	193	156
right	572	290	138
right	572	81	152
left	573	397	140
left	573	193	156
right	573	290	138
right	573	81	152
left	574	397	140
left	574	193	156
right	574	290	139
right	574	81	152
left	575	397	140
left	575	193	156
right	575	290	139
right	575	81	152
left	576	397	140
left	576	193	155
right	576	290	139
right	576	81	152
left	577	397	140
left	577	193	155
right	577	290	139
right	577	81	153
left	578	397	140
left	578	193	155
right	578	290	139
right	578	81	153
left	579	397	140
left	579	193	155
