frame	cX	cY	area	minI	maxI	meanI	camera	tank	cXtank	match_status
694	297	386	107.0	181.0	255.0	231.87301587301587	left	left_tank1	112.0	
694	2196	406	103.0	175.0	255.0	230.3937007874016	right	right_tank1	134.0	match
695	377	292	88.5	181.0	227.0	206.69911504424772	left	left_tank1	192.0	match
695	2294	314	43.0	181.0	185.0	195.63934426229508	right	right_tank1	232.0	match
695	263	312	263.5	181.0	255.0	228.2619047619048	left	left_tank1	78.0	match
695	377	315	289.5	181.0	255.0	224.9625	left	left_tank1	192.0	match
695	2173	329	233.0	181.0	255.0	228.44615384615383	right	right_tank1	111.0	match
695	2286	340	274.0	181.0	255.0	229.02302631578945	right	right_tank1	224.0	match
695	298	386	104.0	181.0	255.0	233.30645161290323	left	left_tank1	113.0	match
695	2196	405	102.0	175.0	255.0	231.73387096774192	right	right_tank1	134.0	match
696	377	282	53.5	181.0	230.0	200.81159420289856	left	left_tank1	192.0	match
696	385	292	26.0	171.0	208.0	201.0731707317073	left	left_tank1	200.0	match
696	373	293	35.0	181.0	250.0	217.75	left	left_tank1	188.0	match
696	2300	314	15.5	181.0	191.0	197.0	right	right_tank1	238.0	match
696	2288	310	70.5	181.0	204.0	201.3894736842105	right	right_tank1	226.0	match
696	263	311	388.5	181.0	255.0	233.64235294117643	left	left_tank1	78.0	match
696	377	315	358.5	181.0	255.0	233.5139949109415	left	left_tank1	192.0	match
696	2174	328	197.5	181.0	255.0	231.25	right	right_tank1	112.0	match
696	2287	339	334.0	181.0	255.0	230.84864864864863	right	right_tank1	225.0	match
696	298	386	92.5	181.0	255.0	229.5892857142857	left	left_tank1	113.0	
696	2196	403	59.0	181.0	255.0	223.1917808219178	right	right_tank1	134.0	match
697	379	288	215.5	181.0	232.0	212.3724696356276	left	left_tank1	194.0	match
697	2288	310	121.5	181.0	255.0	212.8926174496644	right	right_tank1	226.0	match
697	263	310	369.5	181.0	255.0	234.94059405940595	left	left_tank1	78.0	match
697	376	315	389.0	181.0	255.0	230.06744186046512	left	left_tank1	191.0	match
697	2173	327	272.0	181.0	255.0	227.9049180327869	right	right_tank1	111.0	match
697	2286	339	348.5	181.0	255.0	239.3890339425588	right	right_tank1	224.0	match
697	298	386	92.0	181.0	255.0	229.981981981982	left	left_tank1	113.0	match
697	2196	405	92.5	181.0	255.0	232.87387387387383	right	right_tank1	134.0	match
698	377	286	290.5	181.0	248.0	217.25308641975303	left	left_tank1	192.0	match
698	2289	311	152.0	0.0	255.0	210.54545454545453	right	right_tank1	227.0	match
698	261	310	357.5	181.0	255.0	233.0074812967581	left	left_tank1	76.0	match
